 ------------------------------------------------------------------- ------------- -------- ------ ---------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                              
 ------------------------------------------------------------------- ------------- -------- ------ ---------------------------------------------------------------------------------- 
  api.action.access-key.integration                                   GET           ANY      ANY    /api/_action/access-key/intergration                                              
  api.action.access-key.user                                          GET           ANY      ANY    /api/_action/access-key/user                                                      
  api.action.access-key.sales-channel                                 GET           ANY      ANY    /api/_action/access-key/sales-channel                                             
  api.action.access-key.product-export                                GET           ANY      ANY    /api/_action/access-key/product-export                                            
  api.acl.privileges.get                                              GET           ANY      ANY    /api/_action/acl/privileges                                                       
  api.acl.privileges.additional.get                                   GET           ANY      ANY    /api/_action/acl/additional_privileges                                            
  api.composite.search                                                GET|POST      ANY      ANY    /api/_search                                                                      
  api.clone                                                           POST          ANY      ANY    /api/_action/clone/{entity}/{id}                                                  
  api.createVersion                                                   POST          ANY      ANY    /api/_action/version/{entity}/{id}                                                
  api.mergeVersion                                                    POST          ANY      ANY    /api/_action/version/merge/{entity}/{versionId}                                   
  api.deleteVersion                                                   POST          ANY      ANY    /api/_action/version/{versionId}/{entity}/{entityId}                              
  api.oauth.authorize                                                 POST          ANY      ANY    /api/oauth/authorize                                                              
  api.oauth.token                                                     POST          ANY      ANY    /api/oauth/token                                                                  
  api.action.cache.info                                               GET           ANY      ANY    /api/_action/cache_info                                                           
  api.action.cache.index                                              POST          ANY      ANY    /api/_action/index                                                                
  api.action.cache.delete_and_warmup                                  DELETE        ANY      ANY    /api/_action/cache_warmup                                                         
  api.action.cache.delete                                             DELETE        ANY      ANY    /api/_action/cache                                                                
  api.action.cache.cleanup                                            DELETE        ANY      ANY    /api/_action/cleanup                                                              
  api.action.container-cache.delete                                   DELETE        ANY      ANY    /api/_action/container_cache                                                      
  api.action.indexing                                                 POST          ANY      ANY    /api/_action/indexing                                                             
  api.action.indexing.iterate                                         POST          ANY      ANY    /api/_action/indexing/{indexer}                                                   
  api.action.indexing.products                                        POST          ANY      ANY    /api/_action/index-products                                                       
  api.info.openapi3                                                   GET           ANY      ANY    /api/_info/openapi3.json                                                          
  api.info.queue                                                      GET           ANY      ANY    /api/_info/queue.json                                                             
  api.info.open-api-schema                                            GET           ANY      ANY    /api/_info/open-api-schema.json                                                   
  api.info.entity-schema                                              GET           ANY      ANY    /api/_info/entity-schema.json                                                     
  api.info.business-events                                            GET           ANY      ANY    /api/_info/events.json                                                            
  api.info.swagger                                                    GET           ANY      ANY    /api/_info/swagger.html                                                           
  api.info.config                                                     GET           ANY      ANY    /api/_info/config                                                                 
  api.info.shopware.version                                           GET           ANY      ANY    /api/_info/version                                                                
  api.info.shopware.version_old_version                               GET           ANY      ANY    /api/v1/_info/version                                                             
  api.info.actions                                                    GET           ANY      ANY    /api/_info/flow-actions.json                                                      
  api.proxy.store-api                                                 ANY           ANY      ANY    /api/_proxy/store-api/{salesChannelId}/{_path}                                    
  api.proxy-order.create                                              ANY           ANY      ANY    /api/_proxy-order/{salesChannelId}                                                
  api.proxy.switch-customer                                           PATCH         ANY      ANY    /api/_proxy/switch-customer                                                       
  api.proxy.modify-shipping-costs                                     PATCH         ANY      ANY    /api/_proxy/modify-shipping-costs                                                 
  api.proxy.disable-automatic-promotions                              PATCH         ANY      ANY    /api/_proxy/disable-automatic-promotions                                          
  api.proxy.enable-automatic-promotions                               PATCH         ANY      ANY    /api/_proxy/enable-automatic-promotions                                           
  api.action.sync                                                     POST          ANY      ANY    /api/_action/sync                                                                 
  api.extension.refresh                                               POST          ANY      ANY    /api/_action/extension/refresh                                                    
  api.extension.upload                                                POST          ANY      ANY    /api/_action/extension/upload                                                     
  api.extension.download                                              POST          ANY      ANY    /api/_action/extension/download/{technicalName}                                   
  api.extension.install                                               POST          ANY      ANY    /api/_action/extension/install/{type}/{technicalName}                             
  api.extension.uninstall                                             POST          ANY      ANY    /api/_action/extension/uninstall/{type}/{technicalName}                           
  api.extension.remove                                                DELETE        ANY      ANY    /api/_action/extension/remove/{type}/{technicalName}                              
  api.extension.activate                                              PUT           ANY      ANY    /api/_action/extension/activate/{type}/{technicalName}                            
  api.extension.deactivate                                            PUT           ANY      ANY    /api/_action/extension/deactivate/{type}/{technicalName}                          
  api.extension.update                                                POST          ANY      ANY    /api/_action/extension/update/{type}/{technicalName}                              
  api.extension.installed                                             GET           ANY      ANY    /api/_action/extension/installed                                                  
  api.license.cancel                                                  DELETE        ANY      ANY    /api/license/cancel/{licenseId}                                                   
  api.license.rate                                                    POST          ANY      ANY    /api/license/rate/{extensionId}                                                   
  api.custom.store.frw.start                                          POST          ANY      ANY    /api/_action/store/frw/start                                                      
  api.custom.store.language-plugins                                   GET           ANY      ANY    /api/_action/store/language-plugins                                               
  api.custom.store.demo-data-plugins                                  GET           ANY      ANY    /api/_action/store/demo-data-plugins                                              
  api.custom.store.recommendation-regions                             GET           ANY      ANY    /api/_action/store/recommendation-regions                                         
  api.custom.store.recommendations                                    GET           ANY      ANY    /api/_action/store/recommendations                                                
  api.custom.store.frw.login                                          POST          ANY      ANY    /api/_action/store/frw/login                                                      
  api.custom.store.license-domains                                    GET           ANY      ANY    /api/_action/store/license-domains                                                
  api.custom.store.verify-license-domain                              POST          ANY      ANY    /api/_action/store/verify-license-domain                                          
  api.custom.store.frw.finish                                         POST          ANY      ANY    /api/_action/store/frw/finish                                                     
  api.custom.store.ping                                               GET           ANY      ANY    /api/_action/store/ping                                                           
  api.custom.store.login                                              POST          ANY      ANY    /api/_action/store/login                                                          
  api.custom.store.checklogin                                         POST          ANY      ANY    /api/_action/store/checklogin                                                     
  api.custom.store.logout                                             POST          ANY      ANY    /api/_action/store/logout                                                         
